,root_mean_squared1,root_mean_squared2,root_mean_squared3,root_mean_squared4,iemg1,iemg2,iemg3,iemg4,mean_absolute_value1,mean_absolute_value2,mean_absolute_value3,mean_absolute_value4,variance1,variance2,variance3,variance4,wave_form_length1,wave_form_length2,wave_form_length3,wave_form_length4,mean1,mean2,mean3,mean4,median1,median2,median3,median4,skewness1,skewness2,skewness3,skewness4,kurt1,kurt2,kurt3,kurt4,label
107,3373.157,3409.4658,3421.19,3421.5022,195643.0,197749.0,198429.0,198447.0,3373.1553,3409.4656,3421.1897,3421.5,11.372473,2.7315695,3.153686,16.318966,27.0,47.0,44.0,46.0,3373.1553,3409.4656,3421.1897,3421.5,3375.0,3409.5,3421.5,3421.0,-0.60622245,0.06058435,-0.47252586,0.2526447,-1.0708632,-1.1590883,-0.715363,-1.4458257,0
108,3400.493,3415.1558,3409.397,3401.5354,197228.0,198079.0,197745.0,197289.0,3400.4827,3415.1553,3409.3965,3401.5344,69.97384,4.441438,1.0668846,5.11088,40.0,64.0,43.0,51.0,3400.4827,3415.1553,3409.3965,3401.5344,3404.5,3415.0,3409.0,3401.0,-0.66944426,0.19301513,0.37206534,0.2549951,-0.9777901,-1.0171654,-0.6750822,-0.83832574,1
109,3409.8464,3413.9827,3415.3623,3406.0518,197771.0,198011.0,198091.0,197551.0,3409.8447,3413.9827,3415.362,3406.0518,12.579369,0.8445303,2.3689063,0.66973835,49.0,42.0,52.0,38.0,3409.8447,3413.9827,3415.362,3406.0518,3410.0,3414.0,3415.0,3406.0,0.0746144,-0.49878567,-0.10871769,-0.4730971,-1.2334462,-0.1147604,-0.57516885,-0.48273277,2
110,3364.2507,3423.862,3407.8796,3413.0176,195126.0,198584.0,197657.0,197955.0,3364.2415,3423.862,3407.8794,3413.0173,61.355534,0.4637336,1.209572,2.2238407,45.0,38.0,43.0,54.0,3364.2415,3423.862,3407.8794,3413.0173,3365.0,3424.0,3408.0,3413.0,0.054366477,0.5067963,-0.38252825,-0.060867626,-1.0707372,0.36972952,-0.42361212,-0.9166601,0
111,3457.7192,3406.328,3409.9656,3412.483,200547.0,197567.0,197778.0,197924.0,3457.7068,3406.3276,3409.9656,3412.4827,85.55202,0.7030321,1.998811,1.3531508,74.0,33.0,51.0,51.0,3457.7068,3406.3276,3409.9656,3412.4827,3459.0,3406.0,3410.0,3412.0,-0.59314203,-0.5006809,0.09746499,1.1592251,-0.5127151,0.57568526,-0.57739925,1.3203931,1
112,3420.571,3418.553,3411.397,3404.9658,198393.0,198276.0,197861.0,197488.0,3420.5688,3418.5518,3411.3965,3404.9656,14.624556,8.005944,2.7910225,2.274673,51.0,41.0,53.0,46.0,3420.5688,3418.5518,3411.3965,3404.9656,3421.0,3418.5,3411.5,3405.0,-0.42641973,-0.033762112,-0.30751476,-0.42403004,-0.94747066,-1.3272861,-0.67871857,-0.6026516,2
113,3403.105,3396.535,3410.6208,3408.4482,197380.0,196999.0,197816.0,197690.0,3403.1035,3396.5344,3410.6206,3408.4482,11.9893,4.007432,0.92508906,0.9714625,48.0,40.0,51.0,36.0,3403.1035,3396.5344,3410.6206,3408.4482,3405.0,3396.0,3411.0,3408.0,-0.7126916,0.18804058,0.35334232,-0.4500423,-0.7049823,-0.828202,-0.21706653,0.18879294,0
114,3389.0613,3409.259,3410.1555,3408.7078,196565.0,197737.0,197789.0,197705.0,3389.0518,3409.2585,3410.1553,3408.7068,65.152504,2.4331155,1.1655768,5.4140897,55.0,40.0,33.0,40.0,3389.0518,3409.2585,3410.1553,3408.7068,3391.0,3409.0,3410.0,3408.0,-0.4428521,0.2750176,-0.14670977,0.8248447,-1.2591361,-0.82873225,-0.032407045,-0.28286672,1
115,3412.3806,3410.1902,3411.7761,3407.7588,197918.0,197791.0,197883.0,197650.0,3412.3794,3410.1897,3411.776,3407.7585,9.44233,4.119203,1.035969,1.8727707,42.0,48.0,53.0,44.0,3412.3794,3410.1897,3411.776,3407.7585,3413.0,3410.0,3412.0,3407.0,-0.14172186,0.42203042,0.26248467,0.48098487,-1.3431586,-1.0754031,-0.50775504,-0.8229444,2
116,3395.675,3403.7593,3405.707,3416.3625,196949.0,197418.0,197531.0,198149.0,3395.6724,3403.7585,3405.7068,3416.362,17.737514,6.4934597,0.68995243,4.2309756,52.0,53.0,40.0,59.0,3395.6724,3403.7585,3405.7068,3416.362,3395.0,3405.0,3406.0,3417.0,-0.15688913,-0.62974256,-0.49154586,-0.13530706,-1.1194106,-0.5758858,-0.21961856,-0.8368716,0
